FECHA	TMAX	TMIN	NOMBRE
28/10/2023	14.5	3.9	SAN JULIAN AERO
28/10/2023	32.5	13.0	SAN LUIS AERO
28/10/2023	33.5	13.9	SAN MARTIN (MZA)
28/10/2023	30.6	7.6	SAN RAFAEL AERO
28/10/2023	11.6	1.6	SANTA CRUZ AERO
28/10/2023	30.5	11.7	SANTA ROSA AERO
28/10/2023	33.5		SANTA ROSA DE CONLARA AERO
28/10/2023	36.0	17.8	SANTIAGO DEL ESTERO AERO
28/10/2023	30.5	13.0	SAUCE VIEJO AERO
28/10/2023	34.0	14.4	SUNCHALES AERO
28/10/2023	26.8	12.4	TANDIL AERO
28/10/2023		20.0	TARTAGAL AERO
28/10/2023	35.2	19.0	TERMAS DE RIO HONDO AERO
28/10/2023	36.0	10.0	TINOGASTA
28/10/2023	25.1	9.7	TRELEW AERO
28/10/2023	30.4	12.6	TRENQUE LAUQUEN
28/10/2023	28.9	11.5	TRES ARROYOS
28/10/2023	34.2	18.5	TUCUMAN AERO
28/10/2023	7.6	0.8	USHUAIA AERO
28/10/2023	22.5	12.0	USPALLATA
28/10/2023	28.5	11.5	VENADO TUERTO AERO
28/10/2023	31.8	10.3	VICTORICA
28/10/2023	27.1	13.1	VIEDMA AERO
28/10/2023	34.5	13.3	VILLA DE MARIA DEL RIO SECO
28/10/2023	34.5	12.8	VILLA DOLORES AERO
28/10/2023	27.7	16.0	VILLA GESELL AERO
28/10/2023	33.0	6.6	VILLA REYNOLDS AERO
27/10/2023	25.2	18.0	AEROPARQUE AERO
27/10/2023	26.3	13.0	AZUL AERO
27/10/2023	31.7	8.2	BAHIA BLANCA AERO
27/10/2023	11.9	6.6	BARILOCHE AERO
27/10/2023	-6.5	-14.2	BASE BELGRANO II
27/10/2023	-5.0	-9.0	BASE CARLINI (EX JUBANY)
27/10/2023	-7.4	-12.3	BASE ESPERANZA
27/10/2023	-10.9	-15.4	BASE MARAMBIO
27/10/2023	-5.8	-10.5	BASE ORCADAS
27/10/2023	-4.7	-10.4	BASE SAN MARTIN
27/10/2023	25.2	12.6	BENITO JUAREZ AERO
27/10/2023	21.5	17.6	BERNARDO DE IRIGOYEN AERO
27/10/2023	28.1	13.5	BOLIVAR AERO
27/10/2023	26.9	17.3	BUENOS AIRES OBSERVATORIO
27/10/2023	28.5	10.9	CAMPO DE MAYO AERO
27/10/2023	30.4	15.4	CATAMARCA AERO
27/10/2023	29.6	18.5	CERES AERO
27/10/2023	32.1	17.6	CHAMICAL AERO
27/10/2023	15.0	6.5	CHAPELCO AERO
